,movie_title,cluster_KMeans,tsne-2d-one,tsne-2d-two
240,Star Wars: Episode I - The Phantom Menace,3,-12.828566,-5.637268
241,The Croods,5,-14.073922,3.0642004
243,Windtalkers,4,3.0687435,-3.061648
244,The Huntsman: Winter's War,3,-9.784325,-1.3786987
245,Teenage Mutant Ninja Turtles,3,-13.098205,-3.1806612
246,Gravity,4,3.3081417,-5.4831624
247,Dante's Peak,13,-6.843871,-4.930625
249,Fantastic Four,3,-12.340633,-4.5807757
250,Night at the Museum,5,-11.887144,2.2908566
251,San Andreas,4,-0.06513706,-3.5067275
252,Tomorrow Never Dies,13,-5.9221926,-4.633435
253,The Patriot,14,9.100838,-2.6123176
254,Ocean's Twelve,13,-1.6134008,-9.439343
255,Mr. & Mrs. Smith,9,-3.6263397,-2.8383827
256,Insurgent,3,-11.0927925,-8.877462
257,The Aviator,10,13.067709,-2.2812045
258,Gulliver's Travels,5,-12.147385,2.7518303
259,The Green Hornet,9,-2.948335,-3.029336
261,300: Rise of an Empire,4,3.2717302,-2.898087
262,The Smurfs,5,-14.072196,3.0659409
263,Home on the Range,5,-13.149541,6.9011846
264,Allegiant,3,-10.095598,-7.269283
265,Real Steel,4,1.5135636,-3.1320672
266,The Smurfs 2,5,-14.072146,3.064964
267,Speed 2: Cruise Control,13,-1.4635239,-6.3480964
268,Ender's Game,3,-10.262479,-5.515276
269,Live Free or Die Hard,13,-6.5546193,-5.1769934
270,The Lord of the Rings: The Fellowship of the Ring,3,-9.7812195,-1.379618
271,Around the World in 80 Days,9,-7.0213323,-1.0422065
272,Ali,10,13.837025,0.118098944
273,The Cat in the Hat,5,-12.14692,2.7515788
274,"I, Robot",13,-7.450475,-7.7755103
275,Kingdom of Heaven,4,1.7358912,-2.0058994
276,Stuart Little,5,-12.146564,2.7511482
277,The Princess and the Frog,5,-12.070979,5.939555
278,The Martian,14,2.9092553,0.23610395
280,The Island,3,-11.128563,-6.870009
281,Town & Country,0,-1.3550003,12.51123
282,Gone in Sixty Seconds,13,-2.3688116,-6.7514825
283,Gladiator,2,10.259593,5.9610705
284,Minority Report,13,-7.621064,-7.6494017
285,Harry Potter and the Chamber of Secrets,5,-12.621062,0.22578558
286,Casino Royale,13,-6.740334,-4.85284
287,Planet of the Apes,3,-10.791267,-7.5570154
288,Terminator 2: Judgment Day,3,-10.099112,-4.9823794
289,Public Enemies,10,15.849237,1.3728936
290,American Gangster,10,11.792956,-4.381706
291,True Lies,13,-5.1490507,-3.1297808
292,The Taking of Pelham 1 2 3,13,-2.3695998,-6.7505302
293,Little Fockers,0,-4.7228694,12.62573
294,The Other Guys,9,-4.24296,0.21232566
295,Eraser,1,3.7095354,-11.001952
296,Django Unchained,14,7.777796,-1.0865875
297,The Hunchback of Notre Dame,2,9.75642,5.5197887
298,The Emperor's New Groove,5,-14.072379,3.066656
299,The Expendables 2,13,-6.795609,-4.786428
300,National Treasure,3,-13.57909,-1.8054644
301,Eragon,3,-11.743728,-0.9980287
302,Where the Wild Things Are,5,-12.457148,1.0604312
304,Epic,5,-14.071924,1.574968
305,The Tourist,13,-4.564321,-7.5752416
306,End of Days,6,-6.834234,-11.951357
307,Blood Diamond,4,4.4358974,-4.998151
308,The Wolf of Wall Street,12,2.134741,3.0592816
309,Batman Forever,3,-10.751778,-1.6004474
310,Starship Troopers,3,-10.2479925,-5.545001
311,Cloud Atlas,14,3.6595452,-0.12714165
312,Legend of the Guardians: The Owls of Ga'Hoole,5,-14.062532,0.88812137
313,Catwoman,13,-1.5653229,-6.102522
314,Hercules,3,-8.665726,-2.7659016
315,Treasure Planet,5,-15.069412,0.3335016
316,Land of the Lost,8,-8.680376,2.3009427
317,The Expendables 3,13,-6.890776,-4.6813526
318,Point Break,13,-1.9806806,-6.63469
319,Son of the Mask,5,-10.959561,7.63571
321,The Adventures of Pluto Nash,9,-8.230987,0.31878763
322,Green Zone,4,2.1006489,-4.40314
323,The Peanuts Movie,5,-14.201097,5.0714073
324,The Spanish Prisoner,1,4.54233,-10.788332
325,The Mummy Returns,3,-8.189058,-4.5849586
326,Gangs of New York,7,10.144845,-5.7375894
327,The Flowers of War,10,9.665913,-2.0642729
328,Surf's Up,5,-13.454545,6.6406713
329,The Stepford Wives,8,-8.363858,2.1547475
330,Black Hawk Down,14,9.0228195,-2.67542
331,The Campaign,8,-5.37606,4.795655
332,The Fifth Element,3,-12.687152,-5.680415
333,Sex and the City 2,11,4.6264076,13.59456
334,The Road to El Dorado,5,-15.442753,5.319285
335,Ice Age: Continental Drift,5,-14.744538,4.985107
336,Cinderella,2,9.019829,7.5533915
337,The Lovely Bones,4,4.8792634,-6.673467
338,Finding Nemo,5,-14.744733,4.9852448
339,The Lord of the Rings: The Return of the King,3,-9.724353,-1.381476
340,The Lord of the Rings: The Two Towers,3,-9.781954,-1.3807532
341,Seventh Son,3,-10.4019785,-1.7429513
342,Lara Croft: Tomb Raider,3,-8.188572,-4.584817
343,Transcendence,1,4.459808,-8.942044
344,Jurassic Park III,3,-11.14048,-7.3336153
345,Rise of the Planet of the Apes,4,1.1310836,-5.69938
346,The Spiderwick Chronicles,5,-12.570934,0.6551207
347,A Good Day to Die Hard,13,-5.021516,-5.5158515
348,The Alamo,14,9.06587,-2.6789088
349,The Incredibles,5,-15.975293,5.435601
350,Cutthroat Island,9,-7.0229855,-1.0428412
351,Percy Jackson & the Olympians: The Lightning Thief,5,-12.569429,0.65472645
352,Men in Black,5,-10.092446,2.161587
353,Toy Story 2,5,-14.272109,3.2567782
354,Unstoppable,13,-5.49844,-6.55957
355,Rush Hour 2,9,-2.918871,-3.134903
356,What Lies Beneath,6,-1.5099603,-12.540873
357,Cloudy with a Chance of Meatballs,5,-13.697836,6.919056
358,Ice Age: Dawn of the Dinosaurs,5,-15.203951,5.7776446
359,The Secret Life of Walter Mitty,11,5.8447747,10.813902
360,Charlie's Angels,13,-3.721408,-3.5356183
361,The Departed,7,8.602269,-12.73777
363,Tropic Thunder,9,-6.2536416,0.42589638
364,The Girl with the Dragon Tattoo,1,5.7839665,-12.865143
365,Die Hard with a Vengeance,13,-6.6153173,-5.0922494
366,Sherlock Holmes,13,-3.6529002,-5.371305
370,Valkyrie,14,8.377691,-3.5037515
371,You Don't Mess with the Zohan,9,-6.2534137,0.42607635
372,Pixels,9,-8.681305,0.41144
373,A.I. Artificial Intelligence,14,2.994128,0.5035945
374,The Haunted Mansion,5,-10.568615,6.5500407
375,Contact,1,3.9944768,-8.679851
376,Hollow Man,6,-8.32527,-9.7295
377,The Interpreter,1,1.7538046,-14.811087
378,Percy Jackson: Sea of Monsters,5,-12.5692835,0.655006
379,Lara Croft Tomb Raider: The Cradle of Life,3,-10.400418,-1.7435256
381,The Saint,3,-10.852237,-7.7116194
382,Spy Game,13,-0.9572721,-6.8393025
383,Mission to Mars,3,-11.091233,-8.878105
384,Rio,5,-15.160975,4.564082
385,Bicentennial Man,12,0.78170955,5.4853654
386,Volcano,4,1.132333,-5.702179
387,The Devil's Own,1,1.2955791,-11.441508
388,K-19: The Widowmaker,14,8.377691,-3.5037518
391,Cinderella Man,10,13.863631,0.056594748
392,The Nutcracker in 3D,3,-11.855523,-0.98832315
393,Seabiscuit,10,10.389801,-0.034666583
394,Twister,4,-0.06559019,-3.5076978
396,Cast Away,2,10.860531,8.532001
397,Happy Feet,0,-9.731159,11.366879
398,The Bourne Supremacy,13,-4.763898,-5.944497
399,Air Force One,4,-0.065263644,-3.507396
400,Ocean's Eleven,13,-1.6137427,-9.439483
401,The Three Musketeers,3,-8.942106,-2.5263329
402,Hotel Transylvania,5,-12.190523,6.38236
405,Safe House,13,-3.8013294,-6.2370806
406,102 Dalmatians,5,-11.953977,4.61165
407,Tower Heist,9,-3.2442045,-0.496584
408,The Holiday,0,-1.2251256,15.8083105
409,Enemy of the State,1,3.2815108,-12.706753
410,It's Complicated,11,4.6281247,13.593525
411,Ocean's Thirteen,13,-1.4959183,-8.948632
412,Open Season,5,-14.745462,4.985322
413,Divergent,3,-13.725473,-4.852547
414,Enemy at the Gates,14,8.687119,-2.725208
415,The Rundown,13,-5.9385943,-3.4911819
416,Last Action Hero,3,-9.487336,-0.77789325
417,Memoirs of a Geisha,2,10.845065,9.876372
418,The Fast and the Furious: Tokyo Drift,13,-2.3715866,-6.749405
419,Arthur Christmas,5,-14.071128,3.066848
420,Meet Joe Black,2,9.203693,8.073581
421,Collateral Damage,4,0.84270346,-5.1800284
423,Mirror Mirror,5,-11.928166,2.2904048
424,Scott Pilgrim vs. the World,0,-6.375434,10.520429
425,The Core,3,-10.794076,-7.5569596
426,Nutty Professor II: The Klumps,0,-5.3175306,14.016978
427,Scooby-Doo,8,-7.1935763,2.9225252
428,Dredd,3,-10.10182,-4.982311
429,Click,11,5.9150896,10.832397
431,Cats & Dogs: The Revenge of Kitty Galore,5,-10.98168,7.8098598
432,Jumper,3,-10.794707,-7.557505
433,Hellboy II: The Golden Army,3,-11.368907,-3.9104686
434,Zodiac,1,5.85691,-12.913839
435,The 6th Day,13,-7.6210647,-7.649401
436,Bruce Almighty,12,1.7959521,6.7868934
437,The Expendables,13,-6.7393584,-4.848663
438,Mission: Impossible,13,-6.740113,-4.849582
439,The Hunger Games,4,3.3156667,-5.6222153
440,The Hangover Part II,8,-4.788007,3.105062
441,Batman Returns,3,-7.3752165,-2.786926
442,Over the Hedge,5,-14.744447,4.985007
445,Deep Impact,4,1.3335198,-5.7368593
446,RED 2,13,-2.946447,-3.666824
447,The Longest Yard,9,-3.485052,1.6515539
449,Grown Ups 2,8,-4.310273,6.085605
450,Get Smart,9,-7.0234303,-1.0435911
451,Something's Gotta Give,11,4.6267185,13.589715
452,Shutter Island,1,-0.018584628,-14.723811
453,Four Christmases,11,4.626847,13.591094
454,Robots,5,-13.923946,5.094454
455,Face/Off,13,-3.2929635,-7.033787
